        Measured Period [us]    Set Period [us]    Error [%]
----  ----------------------  -----------------  -----------
   0                     397                 25        -1488
   1                     397                 25        -1488
   2                     397                 25        -1488
   3                     397                 25        -1488
   4                     396                 25        -1484
   5                     397                 25        -1488
   6                     397                 25        -1488
   7                     397                 25        -1488
   8                     397                 25        -1488
   9                     397                 25        -1488
  10                     396                 25        -1484
  11                     397                 25        -1488
  12                     397                 25        -1488
  13                     397                 25        -1488
  14                     397                 25        -1488
  15                     397                 25        -1488
  16                     397                 25        -1488
  17                     396                 25        -1484
  18                     397                 25        -1488
  19                     397                 25        -1488
  20                     397                 25        -1488
  21                     397                 25        -1488
  22                     397                 25        -1488
  23                     396                 25        -1484
  24                     397                 25        -1488
  25                     397                 25        -1488
  26                     397                 25        -1488
  27                     397                 25        -1488
  28                     397                 25        -1488
  29                     396                 25        -1484
  30                     397                 25        -1488
  31                     397                 25        -1488
  32                     397                 25        -1488
  33                     397                 25        -1488
  34                     397                 25        -1488
  35                     396                 25        -1484
  36                     397                 25        -1488
  37                     397                 25        -1488
  38                     397                 25        -1488
  39                     397                 25        -1488
  40                     397                 25        -1488
  41                     396                 25        -1484
  42                     397                 25        -1488
  43                     397                 25        -1488
  44                     397                 25        -1488
  45                     397                 25        -1488
  46                     397                 25        -1488
  47                     396                 25        -1484
  48                     397                 25        -1488
  49                     397                 25        -1488
  50                     397                 25        -1488
  51                     397                 25        -1488
  52                     397                 25        -1488
  53                     396                 25        -1484
  54                     397                 25        -1488
  55                     397                 25        -1488
  56                     397                 25        -1488
  57                     397                 25        -1488
  58                     397                 25        -1488
  59                     397                 25        -1488
  60                     396                 25        -1484
  61                     397                 25        -1488
  62                     397                 25        -1488
  63                     397                 25        -1488
  64                     397                 25        -1488
  65                     397                 25        -1488
  66                     396                 25        -1484
  67                     397                 25        -1488
  68                     397                 25        -1488
  69                     397                 25        -1488
  70                     397                 25        -1488
  71                     397                 25        -1488
  72                     396                 25        -1484
  73                     397                 25        -1488
  74                     397                 25        -1488
  75                     397                 25        -1488
  76                     397                 25        -1488
  77                     397                 25        -1488
  78                     396                 25        -1484
  79                     397                 25        -1488
  80                     397                 25        -1488
  81                     397                 25        -1488
  82                     397                 25        -1488
  83                     397                 25        -1488
  84                     396                 25        -1484
  85                     397                 25        -1488
  86                     397                 25        -1488
  87                     397                 25        -1488
  88                     397                 25        -1488
  89                     397                 25        -1488
  90                     396                 25        -1484
  91                     397                 25        -1488
  92                     397                 25        -1488
  93                     397                 25        -1488
  94                     397                 25        -1488
  95                     397                 25        -1488
  96                     396                 25        -1484
  97                     397                 25        -1488
  98                     397                 25        -1488
  99                     397                 25        -1488
 100                     397                 25        -1488
 101                     397                 25        -1488
 102                     396                 25        -1484
 103                     397                 25        -1488
 104                     397                 25        -1488
 105                     397                 25        -1488
 106                     397                 25        -1488
 107                     397                 25        -1488
 108                     397                 25        -1488
 109                     396                 25        -1484
 110                     397                 25        -1488
 111                     397                 25        -1488
 112                     397                 25        -1488
 113                     397                 25        -1488
 114                     397                 25        -1488
 115                     396                 25        -1484
 116                     397                 25        -1488
 117                     397                 25        -1488
 118                     397                 25        -1488
 119                     397                 25        -1488
 120                     397                 25        -1488
 121                     396                 25        -1484
 122                     397                 25        -1488
 123                     397                 25        -1488
 124                     397                 25        -1488
 125                     397                 25        -1488
 126                     397                 25        -1488
 127                     396                 25        -1484
 128                     397                 25        -1488
 129                     397                 25        -1488
 130                     397                 25        -1488
 131                     397                 25        -1488
 132                     397                 25        -1488
 133                     396                 25        -1484
 134                     397                 25        -1488
 135                     397                 25        -1488
 136                     397                 25        -1488
 137                     397                 25        -1488
 138                     397                 25        -1488
 139                     396                 25        -1484
 140                     397                 25        -1488
 141                     397                 25        -1488
 142                     397                 25        -1488
 143                     397                 25        -1488
 144                     397                 25        -1488
 145                     396                 25        -1484
 146                     397                 25        -1488
 147                     397                 25        -1488
 148                     397                 25        -1488
 149                     397                 25        -1488
 150                     397                 25        -1488
 151                     397                 25        -1488
 152                     396                 25        -1484
 153                     397                 25        -1488
 154                     397                 25        -1488
 155                     397                 25        -1488
 156                     397                 25        -1488
 157                     397                 25        -1488
 158                     396                 25        -1484
 159                     397                 25        -1488
 160                     397                 25        -1488
 161                     397                 25        -1488
 162                     397                 25        -1488
 163                     397                 25        -1488
 164                     396                 25        -1484
 165                     397                 25        -1488
 166                     397                 25        -1488
 167                     397                 25        -1488
 168                     397                 25        -1488
 169                     397                 25        -1488
 170                     396                 25        -1484
 171                     397                 25        -1488
 172                     397                 25        -1488
 173                     397                 25        -1488
 174                     397                 25        -1488
 175                     397                 25        -1488
 176                     396                 25        -1484
 177                     397                 25        -1488
 178                     397                 25        -1488
 179                     397                 25        -1488
